Date,Close,Volume
2008-03-28,35.98233795166016,200
2008-03-31,35.42215347290039,400
2008-04-01,36.37737655639648,600
2008-04-02,36.779563903808594,10700
2008-04-03,36.98786163330078,29100
2008-04-04,36.96629333496094,9900
2008-04-07,37.18177032470703,11300
2008-04-08,37.41159057617188,800
2008-04-09,36.71492385864258,4300
2008-04-10,36.71492385864258,6900
2008-04-11,36.13318634033203,600
2008-04-14,36.27682113647461,3900
2008-04-15,36.37737655639648,3100
2008-04-16,36.872928619384766,2900
2008-04-17,37.36850738525391,16400
2008-04-18,37.77788543701172,9700
2008-04-21,37.95024871826172,59100
2008-04-22,37.60551071166992,3600
2008-04-23,37.69887161254883,21500
2008-04-24,37.71323776245117,7100
2008-04-25,37.86405944824219,1700
2008-04-28,38.17289733886719,16100
2008-04-29,37.73479080200195,13600
2008-04-30,38.244728088378906,9700
2008-05-01,38.12979888916016,6300
2008-05-02,38.36681365966797,15400
2008-05-05,38.474552154541016,4500
2008-05-06,38.73310852050781,2200
2008-05-07,38.08671188354492,5300
2008-05-08,38.21598052978516,189500
2008-05-09,38.0507926940918,1000
2008-05-12,38.43862533569336,2700
2008-05-13,38.481727600097656,281400
2008-05-14,38.56791305541992,19400
2008-05-15,38.977298736572266,8400
2008-05-16,39.30767440795898,4400
2008-05-19,39.293304443359375,12300
2008-05-20,38.90547180175781,296200
2008-05-21,38.63973617553711,12200
2008-05-22,38.69718933105469,11400
2008-05-23,38.093894958496094,13800
2008-05-27,38.38835906982422,4000
2008-05-28,38.38117218017578,4800
2008-05-29,38.61817932128906,246700
2008-05-30,38.57509231567383,43300
2008-06-02,38.2806282043457,45500
2008-06-03,38.18726348876953,18700
2008-06-04,37.79942321777344,2900
2008-06-05,38.61101150512695,15500
2008-06-06,37.59115982055664,9500
2008-06-09,37.361324310302734,4300
2008-06-10,36.99504470825195,7200
2008-06-11,36.54973983764648,1900
2008-06-12,36.571285247802734,13800
2008-06-13,36.82265853881836,3900
2008-06-16,37.066856384277344,3300
2008-06-17,37.059669494628906,9400
2008-06-18,36.793922424316406,9800
2008-06-19,36.30554962158203,76300
