Price,Close,Volume
Ticker,TLT,TLT
Date,,
2002-07-30,36.92231369018555,6100
2002-07-31,37.379730224609375,29400
2002-08-01,37.59263229370117,25000
2002-08-02,37.977603912353516,52800
2002-08-05,38.14519119262695,61100
2002-08-06,37.819087982177734,64900
2002-08-07,37.9096794128418,40300
2002-08-08,37.9096794128418,40900
2002-08-09,38.44410705566406,35900
2002-08-12,38.67964553833008,32100
2002-08-13,39.155216217041016,75400
2002-08-14,39.30466079711914,130000
2002-08-15,38.96045684814453,87100
2002-08-16,38.525630950927734,85000
2002-08-19,38.6434211730957,47300
2002-08-20,39.07366180419922,40800
2002-08-21,38.865360260009766,40000
2002-08-22,38.525630950927734,34400
2002-08-23,38.90610885620117,20100
2002-08-26,38.94234848022461,23900
2002-08-27,38.69776153564453,301800
2002-08-28,38.89253616333008,18100
2002-08-29,39.20503616333008,135700
2002-08-30,39.44057083129883,78100
2002-09-03,40.04690170288086,102100
2002-09-04,40.03782272338867,66300
2002-09-05,40.25614929199219,648400
2002-09-06,39.78306198120117,140000
2002-09-09,39.723934173583984,83800
2002-09-10,39.91498947143555,336000
2002-09-11,39.70574951171875,177700
2002-09-12,40.01506805419922,43400
2002-09-13,40.38349914550781,155100
2002-09-16,40.451751708984375,73000
2002-09-17,40.529048919677734,75400
2002-09-18,40.538169860839844,196600
2002-09-19,40.81108856201172,109900
2002-09-20,40.62002182006836,113500
2002-09-23,40.983909606933594,163200
2002-09-24,41.247745513916016,251900
2002-09-25,40.74741744995117,127200
2002-09-26,40.65188217163086,429000
2002-09-27,40.95663833618164,298200
2002-09-30,41.12039566040039,297800
2002-10-01,40.61035919189453,257500
2002-10-02,40.84318542480469,91000
2002-10-03,40.742774963378906,29900
2002-10-04,40.87064743041992,131000
2002-10-07,40.9390983581543,433800
2002-10-08,40.95282745361328,530900
2002-10-09,41.162879943847656,402900
2002-10-10,40.83868408203125,97100
2002-10-11,40.35470199584961,421800
2002-10-14,40.29533386230469,18300
2002-10-15,39.34101867675781,297100
2002-10-16,39.359291076660156,125200
2002-10-17,38.87983703613281,233400
2002-10-18,38.98029708862305,459100
2002-10-21,38.60128402709961,134900
2002-10-22,38.49174118041992,205000
2002-10-23,38.50540542602539,127800
2002-10-24,38.843299865722656,339600
2002-10-25,38.9848518371582,146100
2002-10-28,38.93001937866211,97800
2002-10-29,39.43685531616211,125000
2002-10-30,39.423194885253906,31900
2002-10-31,39.601287841796875,512700
2002-11-01,39.43570327758789,125100
2002-11-04,39.26145553588867,342500
2002-11-05,39.11006164550781,73800
2002-11-06,39.2660026550293,118500
2002-11-07,40.23833465576172,147900
2002-11-08,40.56399917602539,294700
2002-11-11,40.78415298461914,70000
2002-11-12,40.55024719238281,494300
2002-11-13,40.637428283691406,104700
2002-11-14,39.79344177246094,118000
2002-11-15,39.953983306884766,110700
2002-11-18,40.13286590576172,32200
2002-11-19,40.27967071533203,51800
2002-11-20,39.88517761230469,307400
2002-11-21,39.49989700317383,323200
2002-11-22,39.46322250366211,184800
2002-11-25,39.38982009887695,288200
2002-11-26,39.88517761230469,377800
2002-11-27,38.98622512817383,325600
2002-11-29,39.23851013183594,31700
2002-12-02,39.27486038208008,284900
2002-12-03,39.330177307128906,113800
2002-12-04,39.53290939331055,129000
2002-12-05,39.634273529052734,206400
2002-12-06,39.7033805847168,440500
2002-12-09,39.92454147338867,400300
2002-12-10,40.030479431152344,151600
2002-12-11,40.297725677490234,163800
2002-12-12,40.2608642578125,135800
2002-12-13,39.86922836303711,425800
2002-12-16,39.56977462768555,115700
2002-12-17,39.56977462768555,290600
2002-12-18,39.87846755981445,191000
2002-12-19,40.23324203491211,134400
2002-12-20,40.2608642578125,41900
2002-12-23,40.270103454589844,74200
2002-12-24,40.495906829833984,46600
2002-12-26,40.57421112060547,13500
2002-12-27,41.021114349365234,140200
2002-12-30,41.117923736572266,274900
2002-12-31,41.014217376708984,109400
2003-01-02,39.95374298095703,192100
2003-01-03,40.04636001586914,311200
2003-01-06,39.93980026245117,35600
2003-01-07,40.08341598510742,69800
2003-01-08,40.28251647949219,160100
2003-01-09,39.509193420410156,237500
2003-01-10,39.611080169677734,145200
2003-01-13,39.675907135009766,53300
2003-01-14,39.81484603881836,98900
2003-01-15,40.009300231933594,129600
2003-01-16,40.064876556396484,57900
2003-01-17,40.264007568359375,97700
2003-01-21,40.495506286621094,107500
2003-01-22,40.69469451904297,107100
2003-01-23,40.495506286621094,110700
2003-01-24,40.736351013183594,285300
2003-01-27,40.58815002441406,150500
2003-01-28,40.58815002441406,454700
2003-01-29,40.36588668823242,221400
2003-01-30,40.66691589355469,108600
2003-01-31,40.77800750732422,182300
2003-02-03,40.8375129699707,55200
2003-02-04,41.01869583129883,56900
2003-02-05,40.665565490722656,223300
2003-02-06,40.9954833984375,120900
2003-02-07,41.08842086791992,247200
2003-02-10,40.800331115722656,76600
2003-02-11,40.79102325439453,259100
2003-02-12,40.93507385253906,121300
2003-02-13,41.15814208984375,440200
2003-02-14,40.804931640625,829700
2003-02-18,40.85611343383789,213200
2003-02-19,41.13489532470703,62100
2003-02-20,41.2743034362793,486700
2003-02-21,41.03268051147461,250400
2003-02-24,41.22780990600586,168200
2003-02-25,41.4183349609375,358500
2003-02-26,41.70650100708008,334000
2003-02-27,41.77617645263672,695700
2003-02-28,42.04107666015625,213100
2003-03-03,42.09235382080078,204100
2003-03-04,42.12034225463867,83100
2003-03-05,42.26029586791992,126000
2003-03-06,42.09700012207031,166000
2003-03-07,42.24160385131836,263800
2003-03-10,42.46082305908203,147200
2003-03-11,42.386226654052734,82800
2003-03-12,42.540122985839844,454800
2003-03-13,41.75654602050781,830200
2003-03-14,41.96175765991211,590900
2003-03-17,41.457969665527344,724400
2003-03-18,41.06620788574219,415200
2003-03-19,40.76297378540039,398400
2003-03-20,40.697669982910156,206700
2003-03-21,40.13790512084961,843400
2003-03-24,40.77229690551758,373800
2003-03-25,40.72563934326172,606400
2003-03-26,40.809627532958984,309500
2003-03-27,40.83762741088867,191600
2003-03-28,40.930885314941406,253400
2003-03-31,41.467342376708984,643800
2003-04-01,41.349246978759766,289800
2003-04-02,40.918312072753906,312200
2003-04-03,40.8948860168457,245600
2003-04-04,40.777748107910156,184900
2003-04-07,40.68406677246094,485400
2003-04-08,41.01198959350586,194700
2003-04-09,41.13376998901367,102400
2003-04-10,40.941741943359375,53300
2003-04-11,40.876155853271484,450000
2003-04-14,40.76369857788086,207100
2003-04-15,40.983909606933594,128500
2003-04-16,41.152523040771484,97700
2003-04-17,41.21810531616211,106200
2003-04-21,41.12908172607422,148000
2003-04-22,41.1057014465332,299900
2003-04-23,41.18999099731445,42700
2003-04-24,41.56009292602539,199000
2003-04-25,41.653785705566406,529700
2003-04-28,41.58817672729492,80500
2003-04-29,41.51792526245117,177500
2003-04-30,41.902034759521484,293400
2003-05-01,41.92228317260742,231200
2003-05-02,41.5926399230957,231500
2003-05-05,41.8139533996582,77700
2003-05-06,42.02116775512695,260600
2003-05-07,42.510929107666016,306900
2003-05-08,42.61452865600586,437400
2003-05-09,42.656959533691406,110000
2003-05-12,42.925350189208984,364700
2003-05-13,43.019569396972656,227800
2003-05-14,43.67886734008789,1426500
2003-05-15,43.81544494628906,810300
2003-05-16,44.13565444946289,703900
2003-05-19,43.98494338989258,817800
2003-05-20,44.63485336303711,606600
2003-05-21,44.6301155090332,1799600
2003-05-22,45.02570343017578,576200
2003-05-23,45.13874435424805,690600
2003-05-27,44.32404708862305,846400
2003-05-28,44.2486572265625,730500
2003-05-29,44.63485336303711,508300
2003-05-30,44.550052642822266,722200
2003-06-02,44.22282028198242,478600
2003-06-03,44.5775032043457,389400
2003-06-04,44.70992660522461,394100
2003-06-05,44.35997772216797,820900
2003-06-06,44.52073287963867,276800
2003-06-09,44.81868362426758,282200
2003-06-10,45.35308837890625,534800
2003-06-11,45.29632568359375,633600
2003-06-12,45.65104675292969,315400
2003-06-13,45.95843505859375,478400
2003-06-16,45.52334976196289,789300
2003-06-17,45.16398239135742,691600
2003-06-18,44.586952209472656,657600
2003-06-19,44.5018196105957,817700
2003-06-20,44.33629608154297,561700
2003-06-23,44.601131439208984,819900
2003-06-24,45.01256561279297,292900
2003-06-25,44.29374694824219,1002800
2003-06-26,43.69789123535156,1423800
2003-06-27,43.54180145263672,735900
2003-06-30,43.74516296386719,541900
2003-07-01,43.528202056884766,449000
2003-07-02,43.63737869262695,338800
2003-07-03,43.01077651977539,559100
2003-07-07,42.73541259765625,465400
2003-07-08,42.77339172363281,389600
2003-07-09,42.91105270385742,270400
2003-07-10,42.89682388305664,718000
2003-07-11,43.100929260253906,389500
2003-07-14,42.60723876953125,465900
2003-07-15,41.61030578613281,3171100
2003-07-16,41.847660064697266,1205400
2003-07-17,41.719482421875,1030600
2003-07-18,41.634056091308594,550800
2003-07-21,40.75105285644531,1267600
2003-07-22,40.95042419433594,1576900
2003-07-23,41.088069915771484,1374700
2003-07-24,40.72728729248047,701100
2003-07-25,40.618125915527344,1273500
2003-07-28,40.07216262817383,1268500
2003-07-29,39.52623748779297,2139300
2003-07-30,39.972450256347656,1963400
2003-07-31,39.37904739379883,4706400
2003-08-01,39.3494873046875,3061200
2003-08-04,39.68809509277344,1858700
2003-08-05,39.120574951171875,2413000
2003-08-06,39.893131256103516,2549700
2003-08-07,40.06011962890625,1796400
2003-08-08,39.897918701171875,2399100
2003-08-11,39.69763946533203,1355000
2003-08-12,39.511661529541016,1534200
2003-08-13,38.74860382080078,2258100
2003-08-14,39.13010025024414,1612300
2003-08-15,39.106239318847656,515100
2003-08-18,39.28746795654297,655300
2003-08-19,39.893131256103516,1086500
2003-08-20,39.67853546142578,503600
2003-08-21,39.583152770996094,783600
2003-08-22,39.759578704833984,413200
2003-08-25,39.44964599609375,648200
2003-08-26,39.759578704833984,837200
2003-08-27,39.57838439941406,409100
2003-08-28,39.98851013183594,557200
2003-08-29,39.893131256103516,651100
2003-09-02,39.309722900390625,868700
2003-09-03,39.3719367980957,639900
2003-09-04,39.59231948852539,562900
2003-09-05,40.272544860839844,838000
2003-09-08,39.855770111083984,621100
2003-09-09,40.14321517944336,599900
2003-09-10,40.550384521484375,1285900
2003-09-11,40.286949157714844,859500
2003-09-12,40.56476593017578,1375300
2003-09-15,40.50249099731445,367100
2003-09-16,40.44022750854492,655200
2003-09-17,40.943199157714844,1223900
2003-09-18,40.97195816040039,615000
