Date,Close,Volume
1993-01-29,24.313045501708984,1003200
1993-02-01,24.4859619140625,480500
1993-02-02,24.537841796875,201300
1993-02-03,24.79721069335937,529400
1993-02-04,24.900972366333008,531500
1993-02-05,24.883686065673828,492100
1993-02-08,24.883686065673828,596100
1993-02-09,24.710750579833984,122100
1993-02-10,24.745359420776367,379600
1993-02-11,24.86639404296875,19500
1993-02-12,24.67617988586425,42500
1993-02-16,24.053653717041016,374800
1993-02-17,24.03635597229004,210900
1993-02-18,24.019073486328125,378100
1993-02-19,24.10553550720215,34900
1993-02-22,24.19198989868164,513600
1993-02-23,24.17469596862793,373700
1993-02-24,24.4859619140625,26300
1993-02-25,24.537841796875,44500
1993-02-26,24.572429656982425,66200
1993-03-01,24.503252029418945,66500
1993-03-02,24.86639404296875,182400
1993-03-03,24.97014236450196,280100
1993-03-04,24.831811904907227,89500
1993-03-05,24.76263999938965,40000
1993-03-08,25.31599235534668,50800
1993-03-09,25.22952461242676,169300
1993-03-10,25.281417846679688,194400
1993-03-11,25.212236404418945,70900
1993-03-12,24.95284652709961,643600
1993-03-15,25.07390785217285,310800
1993-03-16,25.07390785217285,30800
1993-03-17,24.91826820373535,21800
1993-03-18,25.07390785217285,59300
1993-03-19,25.03595542907715,66900
1993-03-22,24.8969669342041,183400
1993-03-23,24.9490909576416,55200
1993-03-24,24.9490909576416,37200
1993-03-25,25.10545539855957,110100
1993-03-26,24.96645164489746,101500
1993-03-29,25.070697784423828,87100
1993-03-30,25.140214920043945,56000
1993-03-31,25.122833251953125,111600
1993-04-01,25.03595542907715,129500
1993-04-02,24.514732360839844,59400
1993-04-05,24.63634490966797,172200
1993-04-06,24.56685256958008,129700
1993-04-07,24.653728485107425,28000
1993-04-08,24.618974685668945,180800
1993-04-12,24.96645164489746,348500
1993-04-13,25.0185775756836,146100
1993-04-14,24.98383903503418,119600
1993-04-15,24.98383903503418,148600
1993-04-16,24.98383903503418,47900
1993-04-19,24.879594802856445,157000
1993-04-20,24.757980346679688,279500
1993-04-21,24.740612030029297,67900
1993-04-22,24.427875518798828,97700
1993-04-23,24.3236141204834,106000
1993-04-26,24.13251304626465,62600
1993-04-27,24.39312171936035,156800
1993-04-28,24.34099769592285,85900
1993-04-29,24.445247650146484,85000
1993-04-30,24.47999382019043,88500
1993-05-03,24.63634490966797,80500
1993-05-04,24.72323608398437,149100
1993-05-05,24.792724609375,109000
1993-05-06,24.70585250854492,54700
1993-05-07,24.653728485107425,68000
1993-05-10,24.70585250854492,113900
1993-05-11,24.81009101867676,42600
1993-05-12,24.77533721923828,31000
1993-05-13,24.47999382019043,129100
1993-05-14,24.46260643005371,63500
1993-05-17,24.54947662353516,34000
1993-05-18,24.532106399536133,105200
1993-05-19,25.03595542907715,50200
1993-05-20,25.10545539855957,98200
1993-05-21,24.879594802856445,221400
1993-05-24,24.98383903503418,30500
1993-05-25,25.03595542907715,191800
1993-05-26,25.348682403564453,102400
1993-05-27,25.26181411743164,53800
1993-05-28,25.140214920043945,79100
1993-06-01,25.3834228515625,28300
1993-06-02,25.348682403564453,20300
1993-06-03,25.26181411743164,21600
1993-06-04,25.174943923950195,32000
1993-06-07,25.08807373046875,121400
1993-06-08,24.862228393554688,104500
1993-06-09,24.9490909576416,43300
1993-06-10,24.96645164489746,17900
1993-06-11,25.070697784423828,647400
1993-06-14,25.03595542907715,64200
1993-06-15,24.98383903503418,142400
1993-06-16,25.03595542907715,330900
1993-06-17,25.122833251953125,37400
1993-06-18,24.915945053100582,58500
1993-06-21,24.96843338012696,29300
1993-06-22,24.985923767089844,137500
1993-06-23,24.75846290588379,227600
1993-06-24,25.090898513793945,243700
1993-06-25,25.07341766357422,44800
1993-06-28,25.353355407714844,439900
1993-06-29,25.230876922607425,207500
1993-06-30,25.230876922607425,437600
1993-07-01,25.16090202331543,605700
1993-07-02,25.02092170715332,285400
1993-07-06,24.75846290588379,246400
1993-07-07,24.82845687866211,343700
1993-07-08,25.108396530151367,248200
1993-07-09,25.17839431762696,378200
1993-07-12,25.16090202331543,373700
1993-07-13,25.143394470214844,389600
1993-07-14,25.230876922607425,617300
1993-07-15,25.12590980529785,443800
1993-07-16,25.055923461914062,216400
1993-07-19,25.038429260253903,188200
1993-07-20,25.108396530151367,68500
1993-07-21,25.090898513793945,142700
1993-07-22,24.915945053100582,632400
1993-07-23,25.038429260253903,286200
1993-07-26,25.17839431762696,121300
1993-07-27,25.16090202331543,92800
1993-07-28,25.108396530151367,30800
1993-07-29,25.248380661010746,331000
1993-07-30,25.108396530151367,75300
1993-08-02,25.17839431762696,41300
1993-08-03,25.19589233398437,81600
1993-08-04,25.19589233398437,434000
1993-08-05,25.143394470214844,36800
1993-08-06,25.17839431762696,402300
1993-08-09,25.31838035583496,828200
1993-08-10,25.30088424682617,604900
1993-08-11,25.30088424682617,542200
1993-08-12,25.230876922607425,303700
1993-08-13,25.26587677001953,103500
1993-08-16,25.405851364135746,241800
1993-08-17,25.49334144592285,369300
1993-08-18,25.633325576782227,414300
1993-08-19,25.633325576782227,28500
1993-08-20,25.65081024169922,80700
1993-08-23,25.598318099975582,15600
1993-08-24,25.87827682495117,273400
1993-08-25,25.89577293395996,242300
1993-08-26,25.91327476501465,120000
1993-08-27,25.89577293395996,25700
1993-08-30,26.00074958801269,183500
1993-08-31,26.070751190185547,66500
1993-09-01,26.035755157470703,136500
1993-09-02,25.94826889038086,472400
1993-09-03,25.96577262878418,630500
1993-09-07,25.79079818725586,196400
1993-09-08,25.70331764221192,269900
1993-09-09,25.75580787658692,239200
1993-09-10,25.9832763671875,106500
1993-09-13,26.00074958801269,66900
1993-09-14,25.89577293395996,184500
1993-09-15,25.96577262878418,101000
1993-09-16,25.86078834533692,54300
1993-09-17,25.81063461303711,200900
1993-09-20,25.5993595123291,57800
1993-09-21,25.51133918762207,318200
1993-09-22,25.72261428833008,439700
1993-09-23,25.863460540771484,88500
1993-09-24,25.79303741455078,53500
1993-09-27,26.074731826782227,274600
1993-09-28,26.021915435791016,158300
1993-09-29,25.93390274047852,221000
1993-09-30,25.88105773925781,99300
1993-10-01,26.00430488586425,22700
